"variable_name","variable_categ","variable_year","variable_transformation","outcome_nc_corr","lottery_nc_corr","lott_va_nc_corr"
"testz2002","Past Outcome","2002","None",0.00992794958581805,0.0121605973190405,0.00424465883526323
"math_1998_imp","Math","1998","None",0.0732342021215675,0.000897426008547977,0.00638406621029215
"math_1998_miss","Math","1998","Missing indicator",0.0140534227032865,0.0131602257530667,0.0241815725720889
"math_1998_imp_sq","Math","1998","Squared",0.0128409722252698,0.022546395964098,0.0081342633130667
"math_1998_imp_cub","Math","1998","Cubic",0.0422091023896343,0.00404775046093744,0.0116154937366487
"read_1998_imp","Read","1998","None",0.0740561248302902,0.00426825726564542,0.00342864586978174
"read_1998_miss","Read","1998","Missing indicator",0.019208333994371,0.0123266440935574,0.0259751776249438
"read_1998_imp_sq","Read","1998","Squared",0.0103020107462778,0.0228235274487265,0.0186403554445449
"read_1998_imp_cub","Read","1998","Cubic",0.0642749141105172,0.00454450257596212,0.00786313453790085
"math_1999_imp","Math","1999","None",0.0865485918166469,0.00615760141922874,0.00381730638046577
"math_1999_miss","Math","1999","Missing indicator",0.0115412575261752,0.00448807189519662,0.00703911362273177
"math_1999_imp_sq","Math","1999","Squared",0.0210945407338245,0.0102684411029988,0.0180245594154196
"math_1999_imp_cub","Math","1999","Cubic",0.0549975375312136,0.0243578507622377,0.0260433161217285
"read_1999_imp","Read","1999","None",0.085373482310719,0.0113328077790282,0.00910401257949415
"read_1999_miss","Read","1999","Missing indicator",0.0106614098420077,0.000900848454158552,0.00464857868049063
"read_1999_imp_sq","Read","1999","Squared",0.0130153029104646,0.0393942877926617,0.0272154891876769
"read_1999_imp_cub","Read","1999","Cubic",0.0426998589445624,0.0224447377034126,0.00614280992992074
"math_2000_imp","Math","2000","None",0.169554316443342,0.0119741538704967,0.0101338994360299
"math_2000_miss","Math","2000","Missing indicator",0.0158740170974596,0.00567085229586758,0.0280843637067274
"math_2000_imp_sq","Math","2000","Squared",0.0328993923731221,0.00336374312151292,0.0305600431902683
"math_2000_imp_cub","Math","2000","Cubic",0.118470476310797,0.000422957762098766,0.00241683989302331
"read_2000_imp","Read","2000","None",0.134472094417733,0.00198065053046067,0.0549653381859246
"read_2000_miss","Read","2000","Missing indicator",0.00833703377956222,0.0142064564160558,0.0148085463393416
"read_2000_imp_sq","Read","2000","Squared",0.0023570242091774,0.0277357438561898,0.0234768924353956
"read_2000_imp_cub","Read","2000","Cubic",0.0876819524935901,0.000569280776786902,0.0391181008436428
"math_2001_imp","Math","2001","None",0.213405503449323,0.0320151419631201,0.0295514447126524
"math_2001_miss","Math","2001","Missing indicator",0.0453032136605626,0.0290614331164823,0.0275132150137065
"math_2001_imp_sq","Math","2001","Squared",0.0168490800528913,0.0154637964471936,0.0261513302460456
"math_2001_imp_cub","Math","2001","Cubic",0.13384361275926,0.0287301097135588,0.0267181127582219
"read_2001_imp","Read","2001","None",0.204187518639405,0.00867906023107699,0.00809700680772472
"read_2001_miss","Read","2001","Missing indicator",0.04600087955208,0.0300458769771475,0.0357111005198841
"read_2001_imp_sq","Read","2001","Squared",0.0737772464637118,0.0526815016020534,0.00122224323248714
"read_2001_imp_cub","Read","2001","Cubic",0.150549500199231,0.0108899265818755,0.0093052612971683
"ch1_mod2mix_all_test","Past Outcome","1st Choice","None",5.74559194266708e-18,1.08051819464212e-17,1.14609887797313e-17
"ch2_mod2mix_all_test","Past Outcome","2nd Choice","None",0.00657516911546263,0.0200148102381061,0.0610106491209303
"ch3_mod2mix_all_test","Past Outcome","3rd Choice","None",0.0287816215085449,0.026131137715344,0.143139500569431
"hm_mod2mix_all_test","Past Outcome","Neighborhood","None",0.00313822070732683,0.031365811672489,0.544132411637447
