journal,seqid,paper_name,Treatment Variable,Outcome Variable,Instrument,is_falsification,exhibit_reference,"
falsification_type_nco
",test_type_po,falsification_type_nci,test_type_pi,"nc_count
",falsification_type_other,iv_control_in_pi_test
AER,1,Autor 2013, Imports from China,US manufacturing employment,"The rise in Chinese imports that stems from  rising competitiveness in China
  ",TRUE,"Section~4.1, Table~2",TRUE,TRUE,FALSE,FALSE,1,FALSE,
AER,2,Autor 2013," Specialization in routine, low-skill tasks",Workforce polarization,"Commuting zone's industry
 structure in 1950",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,3,Chetty 2016,Randomized moving opportunities to lower-poverty neighborhoods, Children's long-term outcomes,Treatment on Treated specification,TRUE,"Section~II, part~C",TRUE,FALSE,FALSE,FALSE,13,FALSE,
AER,4,Chetty 2014,Value-added teachers,Student future outcomes,Teacher VA estimates ,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,5,Aghion 2013, Institutional ownership,Innovation (patents),"Firms’ addition to
 the S&P 500 index",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,6,Gertler 2015, Monetary policy,"Output
 and inflation"," Surprises around policy
 announcements",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,7,Autor 2020,Exposure to imports from China,Political polarization in the US,"The rise in Chinese imports that stems from  rising competitiveness in China
  ",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,8,Diamond 2016,"Local productivity, amenities and housing demand",Geographical skill sorting,Bartik shocks,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,9,Mertens 2013,Changes in personal vs. corporate taxes , Labor market and expenditure,"Proxy variables for
 structural interes shocks",FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
AER,10,"Ashraf and Galor, 2013","Genetic diversity
",Economic development,Migratory distance,TRUE,"Section~IV, part~C, Table~4

",FALSE,FALSE,TRUE,TRUE,4,FALSE,FALSE
AER,11,"Nunn and Qian, 2014",Food-aid supply,Civil conflicts in recipient countries,US lagged wheat provision,TRUE,"Section~IV, Part~F, Table~5",TRUE,TRUE,TRUE,TRUE,11,FALSE,FALSE
